Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JDBC Request,100,33,24,75,8.23,0.000%,97.94319,14.06,0.00,147.0
TOTAL,100,33,24,75,8.23,0.000%,97.94319,14.06,0.00,147.0
